1162,shlwapi.PathCombineW #653
1758,wininet.HttpOpenRequestA #235
180a,wininet.InternetQueryOptionA #318
1837,wininet.InternetSetOptionA #334
184e,wininet.HttpSendRequestA #242
1895,wininet.HttpQueryInfoA #240
18dd,wininet.InternetCloseHandle #264
221a,shell32.SHGetFolderPathW #385
2240,kernel32.GetModuleFileNameW #613
232c,wininet.InternetOpenA #312
23b1,wininet.InternetSetOptionA #334
23f2,wininet.InternetConnectA #270
242e,wininet.InternetCloseHandle #264
281f,kernel32.GetModuleFileNameW #613
283f,kernel32.GetModuleHandleW #617
28b4,kernel32.CreateProcessA #217
28fa,kernel32.VirtualAllocEx #1437
29d6,kernel32.WriteProcessMemory #1515
29ff,kernel32.VirtualAllocEx #1437
2b9b,kernel32.WriteProcessMemory #1515
2bfc,kernel32.GetThreadContext #742
2c14,kernel32.VirtualProtectEx #1443
2c67,kernel32.SetThreadContext #1325
2c8b,kernel32.VirtualProtectEx #1443
2cc7,kernel32.CreateRemoteThread #222
2ce8,kernel32.ResumeThread #1193
2d04,kernel32.ExitProcess #339
30a3,kernel32.VirtualFree #1439
30d0,kernel32.CloseHandle #129
333a,kernel32.MultiByteToWideChar #978
361b,wininet.InternetCloseHandle #264
3bca,kernel32.GetTickCount #757
486a,kernel32.CreateDirectoryW #180
4dbe,kernel32.HeapReAlloc #824
4ddf,kernel32.HeapAlloc #817
5118,shell32.SHGetFolderPathW #385
57ea,kernel32.Sleep #1363
580c,kernel32.CreateThread #234
676e,kernel32.CreateFileW #196
67b6,kernel32.WriteFile #1506
67de,kernel32.CloseHandle #129
6ade,kernel32.ReleaseMutex #1165
6af1,kernel32.CloseHandle #129
7484,kernel32.GetFileSizeEx #574
76ba,kernel32.CreateFileW #196
7705,kernel32.GetFileSizeEx #574
7729,kernel32.CloseHandle #129
7756,kernel32.VirtualAlloc #1436
7796,kernel32.ReadFile #1105
77dd,kernel32.VirtualFree #1439
79d4,wininet.InternetSetOptionA #334
7cbc,kernel32.GetVersionExA #774
801e,advapi32.CryptAcquireContextA #1194
8050,advapi32.CryptCreateHash #1197
80a9,advapi32.CryptHashData #1218
80e2,advapi32.CryptGetHashParam #1214
8128,advapi32.CryptDestroyHash #1200
813c,advapi32.CryptReleaseContext #1221
c8b0,kernel32.EnterCriticalSection #295
c930,kernel32.LeaveCriticalSection #931
cab9,kernel32.LeaveCriticalSection #931
d246,kernel32.WaitForSingleObject #1452
e4c1,kernel32.GetVersionExW #775
e63b,kernel32.FindFirstFileW #373
e698,kernel32.FindNextFileW #385
f692,kernel32.WideCharToMultiByte #1486
104b8,shlwapi.wvnsprintfA #924
11668,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
116d5,advapi32.GetSecurityDescriptorSacl #1355
1170a,advapi32.SetNamedSecurityInfoW #1731
11729,kernel32.LocalFree #947
11998,urlmon.ObtainUserAgentString #205
11cff,kernel32.CreateFileW #196
11d2b,kernel32.ReadFile #1105
11d63,kernel32.CloseHandle #129
12005,advapi32.GetTokenInformation #1369
12037,kernel32.GetLastError #594
1205e,advapi32.GetTokenInformation #1369
1284d,kernel32.GetComputerNameW #467
128ac,kernel32.GetVersionExW #775
12c2e,kernel32.WaitForSingleObject #1452
12dae,shlwapi.PathQuoteSpacesW #722
1358f,kernel32.CreateFileW #196
135cb,kernel32.CloseHandle #129
135dd,kernel32.DeleteFileW #268
14f7a,advapi32.GetLengthSid #1332
1510e,kernel32.GetCurrentProcessId #524
152a6,kernel32.SetEvent #1265
152bf,kernel32.SetEvent #1265
153e0,kernel32.GetLastError #594
15464,kernel32.GetLastError #594
1550e,kernel32.SetEvent #1265
1552f,kernel32.SetEvent #1265
15680,kernel32.GetLastError #594
156e6,kernel32.SetEvent #1265
1577c,kernel32.SetEvent #1265
15793,kernel32.WaitForSingleObject #1452
157b3,kernel32.GetLastError #594
157d4,kernel32.SetEvent #1265
157ef,kernel32.ResetEvent #1187
15807,kernel32.ResetEvent #1187
15f69,kernel32.CreateEventW #184
15f7c,kernel32.CreateEventW #184
1603d,wininet.InternetCrackUrlA #272
163d1,kernel32.CreateFileW #196
16415,kernel32.CloseHandle #129
16a2e,kernel32.SetFileAttributesW #1272
16a45,kernel32.DeleteFileW #268
16d50,ws2_32.WSAStartup #115
16d93,advapi32.InitializeSecurityDescriptor #1398
16dc0,advapi32.SetSecurityDescriptorDacl #1736
16e1e,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
16e50,advapi32.ConvertStringSecurityDescriptorToSecurityDescriptorW #1131
16ebb,advapi32.GetSecurityDescriptorSacl #1355
16eea,advapi32.SetSecurityDescriptorSacl #1740
16f18,kernel32.LocalFree #947
16f96,kernel32.FlushFileBuffers #404
16fa9,kernel32.CloseHandle #129
17219,kernel32.WriteFile #1506
17267,kernel32.WriteFile #1506
172a7,kernel32.SetEndOfFile #1259
172bc,kernel32.FlushFileBuffers #404
17478,kernel32.CreateFileW #196
17507,kernel32.ReadFile #1105
175ea,kernel32.SetEndOfFile #1259
17611,kernel32.CloseHandle #129
176b9,kernel32.VirtualAlloc #1436
1782f,kernel32.LoadLibraryA #934
17889,kernel32.GetProcAddress #671
17a3c,kernel32.Sleep #1363
17a63,kernel32.CreateMutexW #211
17a90,kernel32.WaitForSingleObject #1452
17abd,kernel32.CloseHandle #129
17c41,advapi32.OpenProcessToken #1531
17c61,advapi32.GetTokenInformation #1369
17c8c,kernel32.GetLastError #594
17cc9,advapi32.GetTokenInformation #1369
17d00,advapi32.GetSidSubAuthorityCount #1366
17d46,advapi32.GetSidSubAuthority #1365
17d81,kernel32.CloseHandle #129
182e7,wininet.InternetQueryOptionA #318
18305,wininet.InternetCloseHandle #264
1832e,wininet.InternetCloseHandle #264
184b7,kernel32.WaitForSingleObject #1452
1850b,wininet.InternetReadFile #320
185c0,advapi32.OpenThreadToken #1536
185d2,kernel32.GetCurrentThread #527
18608,advapi32.OpenProcessToken #1531
18645,advapi32.LookupPrivilegeValueW #1430
18672,advapi32.AdjustTokenPrivileges #1033
186a4,kernel32.GetLastError #594
186cf,kernel32.CloseHandle #129
18706,kernel32.IsWow64Process #888
19f0e,kernel32.ExitThread #340
19f62,kernel32.ExitThread #340
1a10e,shlwapi.wvnsprintfW #925
1a2a4,kernel32.CreateToolhelp32Snapshot #243
1a2dc,kernel32.Process32FirstW #1038
1a315,kernel32.Process32NextW #1040
1a333,kernel32.CloseHandle #129
1a37d,advapi32.RegCreateKeyExW #1606
1a409,advapi32.RegCreateKeyExW #1606
1a44f,advapi32.RegCloseKey #1597
1a487,advapi32.RegCloseKey #1597
1a4f7,kernel32.GetFileAttributesW #567
1a575,shlwapi.PathAddExtensionW #622
1a688,advapi32.OpenProcessToken #1531
1a6e0,advapi32.GetTokenInformation #1369
1a70d,kernel32.CloseHandle #129
1a743,shell32.SHGetFolderPathW #385
1a776,shlwapi.PathAddBackslashW #612
1a788,kernel32.GetVolumeNameForVolumeMountPointW #780
1a7be,shlwapi.PathRemoveBackslashW #728
1a7d0,shlwapi.PathRemoveFileSpecW #734
1a7fc,shlwapi.PathAddBackslashW #612
1a80f,kernel32.GetVolumeNameForVolumeMountPointW #780
1a85c,combase.CLSIDFromString #77
1aaa3,combase.StringFromGUID2 #328
1adb7,user32.CharUpperW #1568
1ae6b,kernel32.HeapAlloc #817
1aec0,advapi32.RegOpenKeyExW #1646
1af02,advapi32.RegQueryValueExW #1659
1af77,advapi32.RegQueryValueExW #1659
1afb7,advapi32.RegCloseKey #1597
1b006,advapi32.RegOpenKeyExW #1646
1b036,advapi32.RegQueryValueExW #1659
1b061,advapi32.RegCloseKey #1597
1b1dd,kernel32.HeapAlloc #817
1b213,advapi32.RegCreateKeyExW #1606
1b247,advapi32.RegSetValueExW #1675
1b26f,advapi32.RegCloseKey #1597
1b3b3,kernel32.HeapFree #821
1b3db,kernel32.GetProcessHeap #676
