1b5c0,"C:\Windows\SystemApps\*"
1b5f0,"Microsoft.MicrosoftEdge"
1b224,"Global\"
1b234,"Local\"
1b380,"Software\Microsoft\"
1b3c0,"Software\Microsoft"
1b380,"Software\Microsoft\"
1b3b2,".exe"
1b3a8,".dll"
1b3b2,".exe"
1b59e," >> "
1b3f0,"rundll32.exe %s,DllRegisterServer"
1b440,"Software\Microsoft\Windows\CurrentVersion\Run"
1b440,"Software\Microsoft\Windows\CurrentVersion\Run"
1b49c,"UNKNOWN"
1b4b0,"Software\Microsoft\Windows NT\CurrentVersion"
1b510,"InstallDate"
1b4b0,"Software\Microsoft\Windows NT\CurrentVersion"
1b530,"DigitalProductId"
1b560,"%s_%08X%08X"
1b580,"INVALID_BOT_ID"
1b3a8,".dll"
1b3b2,".exe"
1b3c0,"Software\Microsoft"
1b380,"Software\Microsoft\"
1b3c0,"Software\Microsoft"
1b280,"SeSecurityPrivilege"
1b2b0,"S:(ML;CIOI;NRNWNX;;;LW)"
1b250,"S:(ML;;NRNWNX;;;LW)"
1b250,"S:(ML;;NRNWNX;;;LW)"
