22227,"userenv.dll"
22240,"bcdfghklmnpqrstvwxz"
22253,"aeiouy"
22253,"aeiouy"
22240,"bcdfghklmnpqrstvwxz"
22240,"bcdfghklmnpqrstvwxz"
22253,"aeiouy"
22253,"aeiouy"
22240,"bcdfghklmnpqrstvwxz"
22310,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET4.0C; .NET4.0E)"
22364,"*/*"
22368,"POST"
2236d,"GET"
22371,"HTTP/1.1"
22380,"Connection: close\n"
22394,"/%s"
22398,".dll"
223a0,"Can't upload a large file to the server."
223c9,"BOT-ERROR"
223d3,"msiexec.exe"
22608,".dll"
2260d,".exe"
2260d,".exe"
22680,"6.3"
22690,"It's a debug version."
226a6,"BOT-INFO"
226d0,"Proxifier is a conflict program, form-grabber and web-injects will not works. Terminate proxifier for solve this problem."
226a6,"BOT-INFO"
22140,"kernel32.dll"
