1065,wininet.HttpOpenRequestA #235
10f5,wininet.InternetQueryOptionA #318
116b,wininet.InternetSetOptionA #334
1191,wininet.HttpSendRequestA #242
11f2,wininet.HttpQueryInfoA #240
1235,wininet.InternetCloseHandle #264
1f5f,kernel32.SetFileAttributesW #1272
1f79,kernel32.DeleteFileW #268
2228,kernel32.WaitForMultipleObjects #1450
250c,kernel32.HeapAlloc #817
3d81,kernel32.EnterCriticalSection #295
3e55,kernel32.LeaveCriticalSection #931
648f,ws2_32.inet_addr #11
64b9,ws2_32.htons #9
6ba4,kernel32.CreatePipe #214
6c83,kernel32.CreateProcessW #221
6cc6,kernel32.WaitForSingleObject #1452
6cfc,kernel32.GetFileSizeEx #574
6d40,kernel32.ReadFile #1105
6d8f,kernel32.CloseHandle #129
6dac,kernel32.CloseHandle #129
6dc2,kernel32.CloseHandle #129
6dd7,kernel32.CloseHandle #129
722f,kernel32.GetFileAttributesW #567
7275,kernel32.GetFileAttributesW #567
72a7,kernel32.MoveFileExW #971
75ce,libssl.d2i_x509 #4
75ee,libssl.d2i_privatekey #3
77c5,kernel32.EnterCriticalSection #295
78a8,kernel32.LeaveCriticalSection #931
7983,kernel32.SetEvent #1265
799a,kernel32.WaitForSingleObject #1452
79d6,shlwapi.PathRemoveFileSpecW #734
7a0b,shlwapi.PathRemoveFileSpecW #734
7a49,shlwapi.PathRemoveFileSpecW #734
7a77,shlwapi.PathRemoveFileSpecW #734
7aa5,shlwapi.PathRemoveFileSpecW #734
7ad7,shlwapi.PathRemoveFileSpecW #734
7b10,shlwapi.PathRemoveFileSpecW #734
7b3e,shlwapi.PathRemoveFileSpecW #734
7b7d,shlwapi.PathRemoveFileSpecW #734
7bba,shlwapi.PathRemoveFileSpecW #734
7bf7,shlwapi.PathRemoveFileSpecW #734
7c30,shlwapi.PathRemoveFileSpecW #734
7cf2,kernel32.GetTempPathW #741
7d13,shlwapi.PathAddBackslashW #612
e359,shlwapi.PathRemoveFileSpecW #734
e4a3,kernel32.OpenProcess #1007
e4cb,kernel32.DuplicateHandle #289
e4ff,kernel32.CloseHandle #129
e66a,kernel32.VirtualAllocEx #1437
e705,kernel32.DuplicateHandle #289
e752,kernel32.DuplicateHandle #289
e82c,kernel32.VirtualFreeEx #1440
e846,kernel32.CloseHandle #129
e876,kernel32.VirtualAllocEx #1437
e8f8,kernel32.WriteProcessMemory #1515
eaa8,kernel32.WriteProcessMemory #1515
eb29,kernel32.VirtualProtectEx #1443
eb8c,kernel32.Sleep #1363
ecc4,kernel32.CreateRemoteThread #222
ecfd,kernel32.CloseHandle #129
ed0f,kernel32.CloseHandle #129
f229,kernel32.WaitForSingleObject #1452
f2f3,ws2_32.htons #9
f311,ws2_32.htons #9
f4d1,ws2_32.htons #9
f537,kernel32.VirtualProtect #1442
f5be,ws2_32.inet_addr #11
f900,advapi32.RegOpenKeyExW #1646
f931,advapi32.RegQueryValueExW #1659
f9aa,advapi32.RegQueryValueExW #1659
f9e7,advapi32.RegCloseKey #1597
fd3b,kernel32.CreateThread #234
107f0,kernel32.EnterCriticalSection #295
10a70,kernel32.LeaveCriticalSection #931
1128d,kernel32.SetEvent #1265
114e2,libssl.i2d_privatekey #10
11504,libssl.i2d_x509 #11
11550,libssl.crypto_free #2
1157e,libssl.crypto_free #2
125ca,ws2_32.inet_addr #11
12608,ws2_32.htons #9
12ddc,shell32.SHGetFolderPathW #385
12e74,kernel32.FindFirstFileW #373
12eb8,kernel32.FindNextFileW #385
12f7b,kernel32.GetFileAttributesW #567
12fb4,kernel32.FindClose #362
1318a,kernel32.VirtualAlloc #1436
13a21,kernel32.CopyFileW #167
13a45,kernel32.DeleteFileW #268
14463,kernel32.GetLogicalDriveStringsW #600
144ad,kernel32.GetLogicalDriveStringsW #600
1451d,kernel32.CreateThread #234
1459b,kernel32.WaitForSingleObject #1452
145af,kernel32.CloseHandle #129
15cfa,wininet.InternetCrackUrlA #272
163de,shlwapi.wvnsprintfW #925
179b8,kernel32.GetFileAttributesW #567
17a27,shlwapi.PathAddExtensionW #622
19de5,kernel32.Sleep #1363
19feb,kernel32.GetProcessHeap #676
1b458,kernel32.Sleep #1363
1b54d,kernel32.Sleep #1363
1b57a,kernel32.CopyFileW #167
1b5c1,kernel32.GetLastError #594
1b639,sqlite3.sqlite3_open #133
1b68a,sqlite3.sqlite3_prepare #139
1b6f4,sqlite3.sqlite3_step #189
1b72e,sqlite3.sqlite3_step #189
1b757,sqlite3.sqlite3_column_text #57
1b773,sqlite3.sqlite3_column_text #57
1b798,sqlite3.sqlite3_column_text #57
1b7b6,sqlite3.sqlite3_column_text #57
1b7db,sqlite3.sqlite3_column_int #49
1b800,sqlite3.sqlite3_column_int #49
1b82b,sqlite3.sqlite3_column_int #49
1b849,sqlite3.sqlite3_column_int #49
1ba0b,sqlite3.sqlite3_finalize #100
1ba29,sqlite3.sqlite3_close #36
1ba41,kernel32.GetFileAttributesW #567
1ba68,kernel32.DeleteFileW #268
1c865,kernel32.HeapReAlloc #824
1c8bc,kernel32.HeapAlloc #817
1ca83,ws2_32.select #18
1d3ca,kernel32.Sleep #1363
1de39,shlwapi.PathRenameExtensionW #736
1ec56,shlwapi.SHDeleteValueW #771
1f8d0,libssl.i2d_x509 #11
1f9d8,libssl.crypto_free #2
211c7,crypt32.CryptUnprotectData #1250
2131a,kernel32.CreateThread #234
21a8a,kernel32.LoadLibraryA #934
21b21,kernel32.GetProcAddress #671
21e46,kernel32.GetSystemDirectoryW #719
23771,kernel32.GetWindowsDirectoryW #786
23a1d,kernel32.SetThreadPriority #1334
23a2e,kernel32.GetCurrentThread #527
23ac6,kernel32.GetLastError #594
23bec,kernel32.InitializeCriticalSection #841
23f4f,wininet.InternetOpenA #312
23fa7,wininet.InternetSetOptionA #334
23ff0,wininet.InternetConnectA #270
2401f,wininet.InternetCloseHandle #264
24051,ws2_32.socket #23
24085,ws2_32.connect #4
240c9,ws2_32.closesocket #3
246d9,kernel32.InitializeCriticalSection #841
248d4,kernel32.CreateToolhelp32Snapshot #243
24923,kernel32.Process32FirstW #1038
24a83,kernel32.GetLastError #594
24aaf,kernel32.CloseHandle #129
24ac2,kernel32.Sleep #1363
24ad5,kernel32.Process32NextW #1040
24b08,kernel32.CloseHandle #129
25d40,ws2_32.socket #23
25da6,ws2_32.connect #4
25df5,ws2_32.WSAGetLastError #111
25e24,ws2_32.closesocket #3
261d6,shlwapi.PathIsURLW #710
2620c,kernel32.GetTempPathW #741
26260,kernel32.DeleteFileW #268
262b0,kernel32.ExpandEnvironmentStringsW #343
263ea,shell32.ShellExecuteW #455
271e0,kernel32.GetProcessId #678
